"","arch","iris_best_train_which","iris_best_train","iris_avg_train","iris_best_test_which","iris_best_test","iris_avg_test","isolet_best_train_which","isolet_best_train","isolet_avg_train","isolet_best_test_which","isolet_best_test","isolet_avg_test","wine_best_train_which","wine_best_train","wine_avg_train","wine_best_test_which","wine_best_test","wine_avg_test"
"1","h1024r;h1024r;h1024r","0.0001",0.00833333333333333,0.378333333333333,"0.001;0.01;0.1;0.0001",0,0.366666666666667,"0.001",0,0.562439884578391,"0.001",0.0397690827453496,0.577485567671584,"0.0001",0.54559891107078,0.687522686025408,"0.001",0.551020408163265,0.585102040816327
"2","h1024r;h1024r;h1024r;h1024r","0.0001",0.0166666666666667,0.363333333333333,"0.001;0.01;0.1;0.0001",0,0.36,"0.001",0.000160307790958641,0.56038794485412,"0.0001",0.0372033354714561,0.576459268762027,"0.01",0.54559891107078,0.820530852994555,"0.001",0.540816326530612,0.806122448979592
"3","h1024s;h1024s;h1024s","0.0001",0.025,0.506666666666667,"0.0001",0.0333333333333333,0.476666666666667,"0.0001",0.00224430907342097,0.747851875601154,"0.0001",0.0525978191148172,0.756189865298268,"0.001",0.104128856624319,0.590721415607986,"0.0001",0.406122448979592,0.643061224489796
"4","h1024s;h1024s;h1024s;h1024s","0.0001",0.0333333333333333,0.55,"0.0001",0.0333333333333333,0.54,"0.0001",0.0043283103558833,0.763834562359731,"0.0001",0.0667094291212316,0.774983964079538,"0.001",0.144056261343013,0.585390199637024,"0.0001",0.414285714285714,0.641632653061225
"5","h128r;h64r","0.1",0.025,0.271666666666667,"0.01;0.1;1;0.0001;0.001",0,0.256666666666667,"0.001",0.000801538954793203,0.563946777813402,"0.001",0.0429762668377165,0.580885182809493,"0.0001",0.452586206896552,0.811524500907441,"0.0001",0.487755102040816,0.865102040816326
"6","h128s;h64s","0.001",0.00833333333333333,0.339166666666667,"0.1;1;0.001;0.01",0,0.326666666666667,"0.01",0.000480923372875922,0.665213209361975,"0.001",0.0461834509300834,0.6771007055805,"0.01",0.248865698729583,0.514927404718693,"0.0001",0.446938775510204,0.576122448979592
"7","h16r","0.01",0.0333333333333333,0.301666666666667,"0.1;1;0.001;0.01;0.1",0,0.283333333333333,"0.01",0.0229240141070856,0.597835844822058,"0.0001",0.09108402822322,0.616613213598461,"0.01",0.54559891107078,0.779378402903811,"0.0001",0.546938775510204,0.812448979591837
"8","h16r;h16r;h16r","1;0.01",0.0333333333333333,0.313333333333333,"0.01",0,0.313333333333333,"0.01",0.00641231163834562,0.589067008656621,"0.01",0.0872354073123797,0.613790891597178,"0.001",0.451678765880218,0.603493647912886,"0.001",0.457142857142857,0.648163265306122
"9","h16r;h16r;h16r;h16r","0.01",0.025,0.469166666666667,"0.01",0,0.466666666666667,"0.001",0.0453671048412953,0.614315485732607,"0.001",0.129570237331623,0.644259140474663,"0.001",0.544237749546279,0.880921052631579,"0.01",0.587755102040816,0.866938775510204
"10","h16s","0.001;0.01",0.025,0.3025,"1;0.001;0.01;0.1",0,0.276666666666667,"0.01",0.00128246232766912,0.591712087207438,"0.001",0.0596536241180244,0.613085311096857,"0.01",0.439655172413793,0.590857531760436,"0.001",0.438775510204082,0.604081632653061
